,type,ID,Date&Time,Severity,Casualties,# of Casualties,# of Vehicles,Latitude,Longitude,Coordinates
136,Feature,199901GD00578,"9:00pm, 18th October 1999",slight,Cyclist,1,2,51.525589,-0.088089,"[-0.088105, 51.525564]"
137,Feature,199901GD00611,"8:52pm, 30th October 1999",slight,Cyclist,1,2,51.538609,-0.070383,"[-0.070402, 51.538588]"
138,Feature,199901GD00618,"9:59pm, 4th November 1999",slight,Cyclist,1,2,51.547918,-0.046047,"[-0.046065, 51.547942]"
139,Feature,199901GD00622,"4:40pm, 3rd November 1999",slight,"Pedestrian,Cyclist",2,1,51.546503,-0.052886,"[-0.052883, 51.546512]"
140,Feature,199901GD00625,"1:05am, 9th November 1999",slight,Cyclist,1,2,51.528549,-0.093156,"[-0.093146, 51.528542]"
141,Feature,199901GD00633,"6:35pm, 12th November 1999",slight,Cyclist,1,2,51.527146,-0.078797,"[-0.078797, 51.527144]"
142,Feature,199901GD00639,"10:35am, 14th November 1999",slight,Cyclist,1,2,51.525755,-0.087218,"[-0.087205, 51.525736]"
143,Feature,199901GD00658,"11:00am, 23rd November 1999",slight,Cyclist,1,2,51.552233,-0.035187,"[-0.03519, 51.552236]"
144,Feature,199901GD00663,"4:30pm, 24th November 1999",slight,Cyclist,1,2,51.537861,-0.068685,"[-0.068697, 51.537849]"
145,Feature,199901GD00665,"2:30pm, 24th November 1999",slight,Cyclist,1,2,51.540314,-0.070167,"[-0.070157, 51.540293]"
146,Feature,199901GD00690,"6:54pm, 14th December 1999",slight,Cyclist,1,2,51.538657,-0.05697,"[-0.056975, 51.538633]"
147,Feature,199901GD09036,"6:05pm, 6th December 1999",serious,"Pedestrian,Cyclist",2,1,51.560474,-0.049404,"[-0.049386, 51.560495]"
148,Feature,199901GN00002,"2:23pm, 2nd January 1999",slight,Cyclist,1,2,51.57075,-0.094709,"[-0.094722, 51.570743]"
149,Feature,199901GN00014,"6:15pm, 8th January 1999",slight,Cyclist,1,2,51.553145,-0.084915,"[-0.084908, 51.553163]"
