,type,ID,Date&Time,Severity,Casualties,# of Casualties,# of Vehicles,Latitude,Longitude,Coordinates
92,Feature,199901EK00174,"5:20pm, 8th April 1999",slight,Cyclist,1,2,51.534132,-0.127095,"[-0.127083, 51.534135]"
93,Feature,199901EK00247,"9:25am, 26th April 1999",slight,Cyclist,1,2,51.533941,-0.126382,"[-0.126378, 51.533964]"
94,Feature,199901EK00253,"9:18am, 19th May 1999",serious,Cyclist,1,2,51.529099,-0.132925,"[-0.132902, 51.52909]"
95,Feature,199901EK00270,"3:55pm, 5th June 1999",slight,Cyclist,1,2,51.531865,-0.125891,"[-0.125868, 51.531867]"
96,Feature,199901EK00378,"5:10pm, 23rd July 1999",serious,Cyclist,1,2,51.529084,-0.126293,"[-0.126272, 51.529093]"
97,Feature,199901EK00387,"1:00pm, 23rd July 1999",slight,Cyclist,1,2,51.527355,-0.130689,"[-0.130687, 51.527366]"
98,Feature,199901EK00444,"7:00pm, 17th September 1999",slight,Cyclist,1,2,51.51794,-0.126751,"[-0.126726, 51.517941]"
99,Feature,199901EK00459,"1:15pm, 21st September 1999",slight,Cyclist,1,2,51.522899,-0.121934,"[-0.121927, 51.522882]"
100,Feature,199901EK00473,"6:40pm, 27th September 1999",slight,Cyclist,1,2,51.526659,-0.120915,"[-0.120925, 51.526638]"
101,Feature,199901EK00477,"2:10pm, 28th September 1999",serious,Cyclist,1,2,51.528535,-0.125739,"[-0.125743, 51.528561]"
102,Feature,199901EK00531,"5:40pm, 6th October 1999",serious,Cyclist,1,2,51.523237,-0.120623,"[-0.120631, 51.523264]"
103,Feature,199901EK00557,"7:25am, 12th October 1999",slight,Cyclist,1,2,51.514977,-0.127016,"[-0.127004, 51.514999]"
104,Feature,199901EK00582,"4:22pm, 15th October 1999",slight,Cyclist,1,3,51.518928,-0.121089,"[-0.12107, 51.518921]"
105,Feature,199901EK00617,"11:05am, 19th October 1999",slight,Cyclist,1,2,51.525044,-0.126748,"[-0.126742, 51.525021]"
106,Feature,199901EK00649,"10:15am, 28th October 1999",slight,Cyclist,1,2,51.528982,-0.119954,"[-0.119935, 51.528983]"
107,Feature,199901EK00662,"7:30pm, 30th October 1999",slight,Cyclist,1,2,51.522112,-0.112164,"[-0.112177, 51.522128]"
108,Feature,199901EK00669,"10:05pm, 2nd November 1999",slight,Cyclist,1,2,51.521076,-0.114802,"[-0.114801, 51.521069]"
109,Feature,199901EK00679,"5:00pm, 4th November 1999",slight,Cyclist,1,2,51.521412,-0.113347,"[-0.113369, 51.521408]"
110,Feature,199901EK00706,"5:40pm, 20th October 1999",slight,Cyclist,1,2,51.528171,-0.125466,"[-0.125482, 51.528175]"
