,index,properties.accident.id,properties.accident.accident_year,properties.accident.date,properties.accident.day_of_week,properties.accident.time,properties.accident.speed_limit,properties.accident.junction_detail,properties.accident.junction_control,properties.accident.longitude,properties.accident.latitude,properties.accident.accident_severity,properties.casualties.1.sex_of_casualty,properties.casualties.1.age_of_casualty,properties.casualties.1.age_band_of_casualty,properties.casualties.1.vehicle_reference,properties.vehicles.1.sex_of_driver,properties.vehicles.1.age_of_driver,properties.vehicles.1.age_band_of_driver,properties.vehicles.1.vehicle_reference,properties.vehicles.1.vehicle_type,properties.vehicles.1.junction_location,properties.labels.accident.speed_limit,properties.labels.accident.junction_detail,properties.labels.accident.junction_control,properties.labels.accident.road_type,properties.labels.accident.road_surface_conditions,properties.labels.accident.light_conditions,properties.labels.accident.weather_conditions,properties.labels.casualties.sex_of_casualty,properties.labels.casualties.age_of_casualty,properties.labels.casualties.age_band_of_casualty,properties.labels.casualties.vehicle_reference,properties.labels.vehicles.sex_of_driver,properties.labels.vehicles.age_of_driver,properties.labels.vehicles.age_band_of_driver,properties.labels.vehicles.vehicle_reference,properties.labels.vehicles.vehicle_type,properties.labels.vehicles.generic_make_model,properties.labels.vehicles.junction_location
45,0,200601TE00016,2006,2006-01-12,Thursday,09:32:00,30,T or staggered junction,Auto traffic signal,-0.118383,51.50063,Fatal,Female,57,56 - 65,2,Male,49,46 - 55,1,Taxi/Private hire car,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
46,0,200701CP00032,2007,2007-01-30,Tuesday,07:40:00,30,T or staggered junction,Auto traffic signal,-0.107581,51.510978,Fatal,Male,25,21 - 25,2,Male,59,56 - 65,1,Goods 7.5 tonnes mgw and over,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
47,0,200701GD69027,2007,2007-04-14,Saturday,01:10:00,30,T or staggered junction,Give way or uncontrolled,-0.061821,51.536489,Fatal,Male,Data missing or out of range,Data missing or out of range,1,Male,Data missing or out of range,Data missing or out of range,1,Pedal cycle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
48,0,200701TA00033,2007,2007-03-09,Friday,08:21:00,30,Other junction,Auto traffic signal,-0.114238,51.531228,Fatal,Female,26,26 - 35,2,Male,37,36 - 45,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
49,0,200701TA00034,2007,2007-03-08,Thursday,09:16:00,30,Not at junction or within 20 metres,Data missing or out of range,-0.124435,51.52168,Fatal,Female,24,21 - 25,2,Male,49,46 - 55,1,Goods 7.5 tonnes mgw and over,Not at or within 20 metres of junction,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
50,0,200701TC00107,2007,2007-05-04,Friday,10:32:00,30,T or staggered junction,Auto traffic signal,-0.07705,51.534402,Fatal,Male,33,26 - 35,2,Male,56,56 - 65,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
51,0,200801CP00222,2008,2008-09-18,Thursday,07:21:00,30,Crossroads,Auto traffic signal,-0.093319,51.510836,Fatal,Male,40,36 - 45,2,Male,63,56 - 65,1,Goods 7.5 tonnes mgw and over,Approaching junction or waiting/parked at junction approach,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
52,0,200801CW69540,2008,2008-02-21,Thursday,22:58:00,30,Other junction,Auto traffic signal,-0.158219,51.513223,Fatal,Male,35,26 - 35,2,Male,61,56 - 65,1,Bus or coach (17 or more pass seats),Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
53,0,200801EK74772,2008,2008-09-24,Wednesday,06:40:00,30,Crossroads,Auto traffic signal,-0.121233,51.518931,Fatal,Female,31,26 - 35,2,Male,48,46 - 55,1,Goods 7.5 tonnes mgw and over,Entering main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
54,0,200801GD72020,2008,2008-04-21,Monday,08:44:00,30,Crossroads,Auto traffic signal,-0.076345,51.540865,Fatal,Male,37,36 - 45,2,Male,40,36 - 45,1,Goods 7.5 tonnes mgw and over,Entering main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
